attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
id,Serial number and position on the dike per year,NA,serial number and position on the dike per year,NA,NA,character,NA,NA
plot,Serial number of the plot,NA,serial number of the plot,NA,NA,character,NA,NA
block,Serial numer of a pair of plots (water and landside),NA,serial numer of a pair of plots (water and landside),NA,NA,character,NA,NA
latitude,Coordinates Y / Hochwert (EPSG: 4326 / WGS84),NA,NA,meter,real,numeric,NA,NA
longitude,Coordinates X / Rechtswert (EPSG: 4326 / WGS84),NA,NA,meter,real,numeric,NA,NA
survey_year,Year of the vegetation survey,YYYY,NA,NA,date,numeric,NA,NA
botanist,Person who surveyed the vegetation,NA,person who surveyed the vegetation,NA,NA,character,NA,NA
esy,EUNIS-Esy: Expert system for automatic classification of European vegetation plots to EUNIS habitats,NA,NA,NA,NA,factor,R1A / R22 / V38 / ? / R ,"Chytrý et al. (2020) EUNIS Habitat Classification: Expert system, characteristic species combinations and distribution maps of European habitats. - Applied Vegetation Science 23, 648-675. https://doi.org/10.1111/avsc.12519"
exposition,Exposition of the plots,NA,NA,NA,NA,factor,north / south,NA
orientation,Is the plot on the slope oriented to the water or to the land?,NA,NA,NA,NA,factor,water / land,NA
pc1_soil,Principal component 1 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc2_soil,Principal component 2 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc3_soil,Principal component 3 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
location,Nearest village of the plot,NA,nearest village of the plot,NA,NA,character,NA,NA
location_abb,Abbreviation of the location,NA,abbreviation of the location,NA,NA,character,NA,NA
location_construction_year,Combination of locationAbb and constructionYear,NA,combination of locationAbb and constructionYear,NA,NA,character,NA,NA
river_km,Official km of river Danube taken from the BayernAtlas,NA,NA,kilometer,real,numeric,NA,NA
river_distance,Orthogonal distance to center of the river bed of River Danube,NA,NA,meter,real,numeric,NA,NA
construction_year,Year in which the dike was constructed and seeded,YYYY,NA,NA,date,numeric,NA,NA
plot_age,Amount of years from the constructionYear to the surveyYear,NA,NA,dimensionless,integer,numeric,NA,NA
species_richness,Amount of species per plot,NA,NA,dimensionless,integer,numeric,NA,NA
eveness,Evenness index = shannon / log(species_richness),NA,NA,dimensionless,real,numeric,NA,NA
accumulated_cover,Accumulated coverage of all species abundances,NA,NA,percent,real,numeric,NA,NA
graminoid_cover,Total cover of graminoids,NA,NA,percent,real,numeric,NA,NA
ruderal_cover,Total cover of ruderal species,NA,NA,percent,real,numeric,NA,NA
ellenberg_richness,Amount of target species per plot (see data/processed/data_processed_traits_metadata.csv),NA,NA,dimensionless,integer,numeric,NA,NA
ellenberg_richness_ratio,Ratio of target species to total species richness,NA,NA,dimensionless,real,numeric,NA,NA
rlg_richness,,,,,,,,
ellenberg_cover_ratio,Ratio of target species' cover to total cover,NA,NA,dimensionless,real,numeric,NA,NA
biotope_type,,,,,,,,
ffh,,,,,,,,
baxkompv,,,,,,,,
biotope_points,,,,,,,,
