id,plot,block,location,locationAbb,locationYear,latitude,longitude,riverkm,distanceRiver,MEM1_2017,MEM2_2018,MEM1_2019,MEM1_2021,MEM2_2021,surveyYear,constructionYear,plotAge,exposition,side,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,accumulatedCov,speciesRichness,botanist,conf_low,conf_high,n
X01_m_2017,01,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418661,4543914,2318,190.6,-0.7428044894138561,NA,NA,NA,NA,2017,2008,9,south,water,-0.1715,0.4525,-0.4211,-0.7514,-0.1115,0.3944,83.7,23,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,4
X01_m_2018,01,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418661,4543914,2318,190.6,NA,-0.4067861068524013,NA,NA,NA,2018,2008,10,south,water,-0.1715,0.4525,-0.4211,-0.7514,-0.1115,0.3944,89.7,26,Jakob_Huber,2,2,4
X01_m_2019,01,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418661,4543914,2318,190.6,NA,NA,-0.7428044894138561,NA,NA,2019,2008,11,south,water,-0.1715,0.4525,-0.4211,-0.7514,-0.1115,0.3944,92.9,32,Jakob_Huber_Linda_Weggler,3,3,4
X01_m_2021,01,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418661,4543914,2318,190.6,NA,NA,NA,-0.7428044894138561,-0.4067861068524013,2021,2008,13,south,water,-0.1715,0.4525,-0.4211,-0.7514,-0.1115,0.3944,80.8,29,Markus Bauer,4,4,4
X02_m_2017,02,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418670,4543912,2318,199.6,-0.74278652036374615,NA,NA,NA,NA,2017,2008,9,north,land,0.4911,0.5392,0.2612,-0.7514,-0.1115,0.3944,36.9,40,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,4
X02_m_2018,02,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418670,4543912,2318,199.6,NA,-0.40680457505764583,NA,NA,NA,2018,2008,10,north,land,0.4911,0.5392,0.2612,-0.7514,-0.1115,0.3944,68.5,35,Jakob_Huber,6,6,4
X02_m_2019,02,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418670,4543912,2318,199.6,NA,NA,-0.74278652036374615,NA,NA,2019,2008,11,north,land,0.4911,0.5392,0.2612,-0.7514,-0.1115,0.3944,103.8,41,Jakob_Huber_Linda_Weggler,7,7,4
X02_m_2021,02,1,Parkstetten-Reibersdorf,PAR,PAR-2008,5418670,4543912,2318,199.6,NA,NA,NA,-0.74278652036374615,-0.40680457505764583,2021,2008,13,north,land,0.4911,0.5392,0.2612,-0.7514,-0.1115,0.3944,73,44,Markus Bauer,8,8,4
X03_m_2017,03,2,Parkstetten-Reibersdorf,PAR,PAR-2008,5418627,4544901,2317,511.1,-0.8755842856280017,NA,NA,NA,NA,2017,2008,9,south,water,0.3988,0.9092,-0.0176,-0.7514,-0.1115,0.3944,80.1,32,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,4
X03_m_2018,03,2,Parkstetten-Reibersdorf,PAR,PAR-2008,5418627,4544901,2317,511.1,NA,-0.06046090560666687,NA,NA,NA,2018,2008,10,south,water,0.3988,0.9092,-0.0176,-0.7514,-0.1115,0.3944,68.6,24,Jakob_Huber,10,10,4
X03_m_2019,03,2,Parkstetten-Reibersdorf,PAR,PAR-2008,5418627,4544901,2317,511.1,NA,NA,-0.8755842856280017,NA,NA,2019,2008,11,south,water,0.3988,0.9092,-0.0176,-0.7514,-0.1115,0.3944,70.1,29,Jakob_Huber_Linda_Weggler,11,11,4
