attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
id,Serial number and position on the dike per year,NA,serial number and position on the dike per year,NA,NA,character,NA,NA
plot,Serial number of the plot,NA,serial number of the plot,NA,NA,character,NA,NA
block,Serial numer of a pair of plots (water and landside),NA,serial numer of a pair of plots (water and landside),NA,NA,character,NA,NA
latitude,Coordinates Y / Hochwert (EPSG: 31468 / GK4),NA,NA,meter,real,numeric,NA,NA
longitude,Coordinates X / Rechtswert (EPSG: 31468 / GK4),NA,NA,meter,real,numeric,NA,NA
survey_year,Year of the vegetation survey,YYYY,NA,NA,date,numeric,NA,NA
botanist,Person who surveyed the vegetation,NA,person who surveyed the vegetation,NA,NA,character,NA,NA
esy,EUNIS-Esy: Expert system for automatic classification of European vegetation plots to EUNIS habitats,NA,NA,NA,NA,factor,R1A / R22 / V38 / ? / R ,"Chytrý et al. (2020) EUNIS Habitat Classification: Expert system, characteristic species combinations and distribution maps of European habitats. - Applied Vegetation Science 23, 648-675. https://doi.org/10.1111/avsc.12519"
exposition,Slope aspect of the plots,NA,NA,NA,NA,factor,north / south,NA
orientation,Is the plot on the slope oriented to the water or to the land?,NA,NA,NA,NA,factor,water / land,NA
pc1_soil,Principal component 1 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc2_soil,Principal component 2 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc3_soil,Principal component 3 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
location,Nearest village of the plot,NA,nearest village of the plot,NA,NA,character,NA,NA
location_abb,Abbreviation of the location,NA,abbreviation of the location,NA,NA,character,NA,NA
location_construction_year,Combination of locationAbb and constructionYear,NA,combination of locationAbb and constructionYear,NA,NA,character,NA,NA
river_km,Official km of river Danube taken from the BayernAtlas,NA,NA,kilometer,real,numeric,NA,NA
river_distance,Orthogonal distance to center of the river bed of River Danube,NA,NA,meter,real,numeric,NA,NA
biotope_distance,Distance to closesed grassland habitat,NA,NA,meter,real,numeric,NA,LfU (Bayerisches Landesamt fuer Umwelt) (2022) Biotopkartierung Bayern. Bayerisches Fachinformationssystem Naturschutz. https://www.lfu.bayern.de/natur/biotopflaechen_sachdaten/index.htm
biotope_area,Area of biotopes within a 500 m radius around each plot,NA,NA,meterSquared,real,numeric,NA,LfU (Bayerisches Landesamt fuer Umwelt) (2022) Biotopkartierung Bayern. Bayerisches Fachinformationssystem Naturschutz. https://www.lfu.bayern.de/natur/biotopflaechen_sachdaten/index.htm
mem1_2017,Moran's  eigenvector map 1 of the year 2017,NA,NA,dimensionless,real,numeric,NA,NA
mem2_2018,Moran's  eigenvector map 2 of the year 2018,NA,NA,dimensionless,real,numeric,NA,NA
mem1_2019,Moran's  eigenvector map 1 of the year 2019,NA,NA,dimensionless,real,numeric,NA,NA
mem1_2021,Moran's  eigenvector map 1 of the year 2021,NA,NA,dimensionless,real,numeric,NA,NA
mem2_2021,Moran's  eigenvector map 2 of the year 2021,NA,NA,dimensionless,real,numeric,NA,NA
construction_year,Year in which the dike was constructed and seeded,YYYY,NA,NA,date,numeric,NA,NA
plot_age,Amount of years from the constructionYear to the surveyYear,NA,NA,nominalYear,integer,numeric,NA,NA
pc1_construction_year,Principal component 1 of 20 weather parameters see outputs/statistics/pca_construction_year.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc2_construction_year,Principal component 2 of 20 weather parameters see outputs/statistics/pca_construction_year.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc3_construction_year,Principal component 3 of 20 weather parameters see outputs/statistics/pca_construction_year.csv,NA,NA,dimensionless,real,numeric,NA,NA
accumulated_cover,Accumulated coverage of all species abundances,NA,NA,percent,real,numeric,NA,NA
species_richness,Amount of species per plot,NA,NA,dimensionless,integer,numeric,NA,NA
eveness,Evenness index = shannon / log(species_richness),NA,NA,dimensionless,real,numeric,NA,NA
shannon,Shannon index,NA,NA,dimensionless,real,numeric,NA,"Shannon CE (1948) A mathematical theory of communication. - The Bell System Technical Journal 27, 379-423. https://doi.org/10.1002/j.1538-7305.1948.tb01338.x"
graminoid_cover,Total cover of graminoids,NA,NA,percent,real,numeric,NA,NA
ruderal_cover,Total cover of ruderal species,NA,NA,percent,real,numeric,NA,NA
ellenberg_richness,Amount of target species per plot (see data/processed/data_processed_traits_metadata.csv),NA,NA,dimensionless,integer,numeric,NA,NA
ellenberg_richness_ratio,Ratio of target species to total species richness,NA,NA,dimensionless,real,numeric,NA,NA
ellenberg_cover_ratio,Ratio of target species' cover to total cover,NA,NA,dimensionless,real,numeric,NA,NA
