plot,block,comparison,pool,presabu,exposition,orientation,pc1_soil,pc2_soil,pc3_soil,location,location_abb,location_construction_year,river_km,river_distance,construction_year,b,c,d
01,1,1718,target,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.1071,0.1071,0.2143
01,1,1819,target,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.1,0.1667,0.2667
01,1,1921,target,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.2333,0.1667,0.4
01,1,1719,target,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.1667,0.2333,0.4
01,1,1721,target,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.2143,0.2143,0.4286
01,1,1718,target,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.3377,0.2422,0.5799
01,1,1819,target,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.228,0.2288,0.4569
01,1,1921,target,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.2788,0.2923,0.5711
01,1,1719,target,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.4526,0.3579,0.8105
01,1,1721,target,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.3801,0.2988,0.6789
01,1,1718,all,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.1429,0.2041,0.3469
01,1,1819,all,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.0862,0.1897,0.2759
01,1,1921,all,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.2131,0.1639,0.377
01,1,1719,all,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.1273,0.2909,0.4182
01,1,1721,all,presence,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.2115,0.3269,0.5385
01,1,1718,all,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.2958,0.3304,0.6263
01,1,1819,all,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.2108,0.2284,0.4392
01,1,1921,all,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.3132,0.2435,0.5567
01,1,1719,all,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.3635,0.4156,0.7792
01,1,1721,all,abundance,south,water,-0.1715,0.4525,-0.4211,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,190.57,2008,0.352,0.3343,0.6863
02,1,1718,target,presence,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.1875,0.1875,0.375
02,1,1819,target,presence,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.0816,0.102,0.1837
02,1,1921,target,presence,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.0962,0.1346,0.2308
02,1,1719,target,presence,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.1633,0.1837,0.3469
02,1,1721,target,presence,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.0784,0.1373,0.2157
02,1,1718,target,abundance,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.0851,0.4631,0.5482
02,1,1819,target,abundance,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.1286,0.2103,0.3389
02,1,1921,target,abundance,north,land,0.4911,0.5392,0.2612,Parkstetten-Reibersdorf,PAR,PAR-2008,2318,199.6,2008,0.2655,0.1457,0.4111
