plot,Achillea_millefolium,Aegopodium_podagraria,Agrimonia_eupatoria,Agrostis_capillaris,Agrostis_stolonifera,Ajuga_reptans,Allium_scorodoprasum,Anthoxanthum_odoratum,Anthyllis_vulneraria,Arenaria_serpyllifolia,Arrhenatherum_elatius,Astragalus_glycyphyllos,Avena_fatua,Betula_pendula,Brachypodium_pinnatum,Brachypodium_sylvaticum,Brassicaceae,Briza_media,Bromus_erectus,Bromus_hordeaceus,Bromus_inermis,Bromus_sterilis,Calamagrostis_epigejos,Calystegia_sepium,Campanula_patula,Campanula_rotundifolia,Campanula_trachelium,Carex_flacca,Carex_hirta,Carex_muricata,Carex_praecox_ssp_praecox,Centaurea_jacea,Centaurea_scabiosa,Centaurium_erythraea,Cerastium_arvense,Cerastium_fontanum_ssp_vulgare,Cichorium_intybus,Cirsium_arvense,Clinopodium_vulgare,Convolvulus_arvensis,Cornus_controversa,Coryllus_avellana,Cota_tinctoria,Crataegus_monogyna,Crepis_biennis,Crepis_capillaris,Cynosurus_cristatus,Dactylis_glomerata,Daucus_carota,Deschampsia_cespitosa,Dianthus_carthusianorum,Dipsacus_fullonum,Echium_vulgare,Elymus_repens,Equisetum_arvense,Erigeron_annuus,Euonymus_europaeus,Euphorbia_cyparissias,Euphorbia_esula,Festuca_ovina,Festuca_pratensis,Festuca_rubra,Filipendula_ulmaria,Filipendula_vulgaris,Foeniculum_vulgare,Fragaria_viridis,Galium_mollugo,Galium_verum,Geranium_dissectum,Geranium_pyrenaicum,Glechoma_hederacea,Holcus_lanatus,Hypericum_perforatum,Juglans_regia,Knautia_arvensis,Lathyrus_pratensis,Lathyrus_sylvestris,Leontodon_hispidus,Leucanthemum_vulgare,Linum_catharticum,Lolium_perenne,Lotus_corniculatus,Lysimachia_nummularia,Medicago_falcata,Medicago_lupulina,Medicago_minima,Medicago_sativa,Mentha_spicata,Myosotis_arvensis,Onobrychis_viciifolia,Ononis_spinosa,Ononis_spinosa_ssp_procurrens,Origanum_vulgare,Papaver_rhoeas,Phleum_phleoides,Phleum_pratense,Pimpinella_saxifraga,Plantago_lanceolata,Plantago_media,Poa_angustifolia,Poa_annua,Poa_pratensis,Poa_trivialis,Potentilla_anserina,Potentilla_argentea,Potentilla_recta,Potentilla_reptans,Prunella_vulgaris,Quercus_robur,Ranunculus_acris,Ranunculus_bulbosus,Ranunculus_repens,Ranunculus_spec,Rubus_caesius,Rumex_acetosa,Rumex_crispus,Salix_cinerea,Salvia_nemorosa,Salvia_pratensis,Sanguisorba_minor,Sanguisorba_officinalis,Saponaria_officinalis,Securigera_varia,Sedum_acre,Sedum_sexangulare,Silene_latifolia_ssp_alba,Silene_vulgaris,Solidago_gigantea,Stachys_officinalis,Symphytum_officinale,Tanacetum_vulgare,Taraxacum_campylodes,Thalictrum_minus,Thymus_pulegioides,Trifolium_arvense,Trifolium_campestre,Trifolium_dubium,Trifolium_medium,Trifolium_pratense,Trifolium_repens,Tripleurospermum_maritimum,Trisetum_flavescens,Urtica_dioica,Valeriana_officinalis,Verbascum_blattaria,Verbascum_lychnitis,Verbascum_nigrum,Verbena_officinalis,Veronica_chamaedrys,Veronica_persica,Vicia_cracca,Vicia_sativa_ssp_nigra,Vicia_sepium,Viola_hirta
01,0,0,0,2,0,0,0,0,0,2,18.8,0,0,0,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,2,0,0,0,0.5,0,0,0,0,0.5,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,0.5,0,2,0.5,0,0,0,0.5,0,0,8.8,0,0,0,0,0,0,8.8,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,2,0.5,0,0.5,0,0,2,2,0,0,0,0.5,0.5,0,8.8,0.5,0,0,0.5,0,0,0,0,8.8,0.5,0,0,0,0,0,4,0,8.8,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
03,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,2,0,0,0,8.8,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,8.8,0,2,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,2,0,0.5,0,0,0.5,0,0,0,18.8,0,0,0,0,0.5,0,0.5,2,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,0.5,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,0.5,0,0.5,0.5,0,0,0,0.5,18.8,0,0.5,0,0,0,0,0,0,8.8,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,8.8,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,4,0,0,0,0,0.5,4,0,0,0,0,0,0,0.5,0,0,0.5,4,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,8.8,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
09,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
10,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0
11,2,0,0,0,0,0,0,0.5,0.5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,2,4,0,0,0.5,0,0,0,0.5,0,0,0,0,4,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,2,0.5,0
12,18.8,0,0,0,0,0,0,0,0.5,18.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
