id,plot,exposition,side,block,location,locationAbb,locationYear,longitude,latitude,riverkm,distanceRiver,constructionYear,botanist,conf.low,conf.high,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,B,C,D,comparison,presabu
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.1429,0.2041,0.3469,1718,presence
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.0862,0.1897,0.2759,1819,presence
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.2131,0.1639,0.377,1921,presence
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.1273,0.2909,0.4182,1719,presence
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.2115,0.3269,0.5385,1721,presence
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.2958,0.3304,0.6263,1718,abundance
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.2108,0.2284,0.4392,1819,abundance
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.3132,0.2435,0.5567,1921,abundance
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.3635,0.4156,0.7792,1719,abundance
X01_m_2017,01,south,water,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543914,5418661,2318,190.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,1,1,-0.1144,0.3726,0.3454,-0.7514,-0.1115,0.3944,0.352,0.3343,0.6863,1721,abundance
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.2133,0.1467,0.36,1718,presence
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.1053,0.1842,0.2895,1819,presence
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.1176,0.1529,0.2706,1921,presence
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.1852,0.1975,0.3827,1719,presence
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.1071,0.1548,0.2619,1721,presence
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.1224,0.4222,0.5446,1718,abundance
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.108,0.3128,0.4208,1819,abundance
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.2964,0.1222,0.4186,1921,abundance
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.0746,0.5501,0.6247,1719,abundance
X02_m_2017,02,north,land,1,Parkstetten-Reibersdorf,PAR,PAR-2008,4543912,5418670,2318,199.6,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,0.4823,0.5712,-0.214,-0.7514,-0.1115,0.3944,0.0819,0.4104,0.4923,1721,abundance
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.25,0.1071,0.3571,1718,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.0943,0.1887,0.283,1819,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2075,0.1132,0.3208,1921,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2459,0.1967,0.4426,1719,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2679,0.125,0.3929,1721,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2724,0.195,0.4674,1718,abundance
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2293,0.2401,0.4694,1819,abundance
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.3655,0.1248,0.4903,1921,abundance
