location,longitude_center,latitude_center
Parkstetten-Reibersdorf,12.599519797194445,48.90247647168155
Oebling,12.634190697438438,48.89536911714925
Hermannsdorf-Ainbrach,12.709148683789348,48.88884682062423
Pfelling,12.754749690396189,48.878813953399245
Irlbach,12.748096376792336,48.84733181297071
Mariaposching,12.80880091188479,48.825765489860004
Schwarzach-Sulzbach,12.84349412615694,48.8457337962031
Natternberg,12.928359911149723,48.83090440949099
Deggendorf_West,12.931233886153311,48.836946787148406
Fischerdorf,12.950872323526493,48.80337026698668
Stoegermuehlbach,12.969722600986806,48.778079650635725
Hofkirchen,13.115585059814347,48.678442079852644
Saubach,12.950202154760866,48.825027575580236
Muehlheim-Ruckasing,13.020164404340083,48.71637023802181
