id,location,construction_year,plot,location_abb,location_year,longitude,latitude,longitude_center,latitude_center,river_distance,biotope_area,biotope_distance
01_m,Parkstetten-Reibersdorf,2008,01,PAR,PAR-2008,12.597537238060442,48.903808955355075,12.599519797194445,48.90247647168155,190,16865,66
02_m,Parkstetten-Reibersdorf,2008,02,PAR,PAR-2008,12.597510924945242,48.90389002185373,12.599519797194445,48.90247647168155,199,16742,75
03_m,Parkstetten-Reibersdorf,2008,03,PAR,PAR-2008,12.610995628382327,48.90343262627256,12.599519797194445,48.90247647168155,512,13362,244
04_m,Parkstetten-Reibersdorf,2008,04,PAR,PAR-2008,12.610996945138623,48.90354052602097,12.599519797194445,48.90247647168155,521,13287,256
05_m,Oebling,2012,05,OEB,OEB-2012,12.62363770664428,48.898859774528795,12.625422190561105,48.900043806280024,229,NA,580
06_m,Oebling,2012,06,OEB,OEB-2012,12.623652800459118,48.898976591907626,12.625422190561105,48.900043806280024,223,NA,573
07_m,Oebling,2012,07,OEB,OEB-2012,12.627280734313977,48.901151000584655,12.625422190561105,48.900043806280024,404,NA,653
08_m,Oebling,2012,08,OEB,OEB-2012,12.627117520827046,48.90118785809902,12.625422190561105,48.900043806280024,392,NA,641
09_m,Oebling,2010,09,OEB,OEB-2010,12.638287691269726,48.891504809610865,12.63417609153175,48.89204225126736,1538,NA,1927
10_m,Oebling,2010,10,OEB,OEB-2010,12.638234522052544,48.89161301122031,12.63417609153175,48.89204225126736,1526,NA,1917
11_m,Oebling,2010,11,OEB,OEB-2010,12.630091698516445,48.892575046085874,12.63417609153175,48.89204225126736,1010,NA,1409
12_m,Oebling,2010,12,OEB,OEB-2010,12.630090454288286,48.892476138152404,12.63417609153175,48.89204225126736,1017,NA,1417
13_m,Oebling,2006,13,OEB,OEB-2006,12.64469445869606,48.89977797062494,12.642973810222456,48.89402129390037,624,NA,1068
14_m,Oebling,2006,14,OEB,OEB-2006,12.64469364837753,48.89971502947072,12.642973810222456,48.89402129390037,631,NA,1075
15_m,Oebling,2006,15,OEB,OEB-2006,12.641205843961082,48.88829635340179,12.642973810222456,48.89402129390037,1886,NA,2317
16_m,Oebling,2006,16,OEB,OEB-2006,12.641301289855154,48.88829582210405,12.642973810222456,48.89402129390037,1887,NA,2317
17_o,Hermannsdorf-Ainbrach,2016,17,HER,HER-2016,12.706794696258832,48.89016968675158,12.709148683789348,48.88884682062423,253,NA,804
18_m,Hermannsdorf-Ainbrach,2016,18,HER,HER-2016,12.706725631085211,48.89010716453537,12.709148683789348,48.88884682062423,261,NA,812
19_o,Hermannsdorf-Ainbrach,2016,19,HER,HER-2016,12.711585627777804,48.88760437405792,12.709148683789348,48.88884682062423,271,NA,881
20_m,Hermannsdorf-Ainbrach,2016,20,HER,HER-2016,12.711488780035545,48.88750605715206,12.709148683789348,48.88884682062423,284,NA,893
21_m,Pfelling,2008,21,PFE,PFE-2008,12.755709817019941,48.878448002346076,12.754749690396189,48.878813953399245,485,NA,1149
22_m,Pfelling,2008,22,PFE,PFE-2008,12.755614663300838,48.87846661107058,12.754749690396189,48.878813953399245,480,NA,1156
23_m,Pfelling,2008,23,PFE,PFE-2008,12.757717874025566,48.8805120347326,12.754749690396189,48.878813953399245,730,NA,1116
24_m,Pfelling,2008,24,PFE,PFE-2008,12.75763675762187,48.88055752969254,12.754749690396189,48.878813953399245,728,NA,1123
25_m,Irlbach,2011,25,IRL,IRL-2011,12.74011848473606,48.84556537610821,12.74208364985569,48.846385949121704,1777,NA,1207
26_m,Irlbach,2011,26,IRL,IRL-2011,12.740300178289898,48.84772237190308,12.74208364985569,48.846385949121704,1765,NA,1429
27_m,Irlbach,2011,27,IRL,IRL-2011,12.738233975511731,48.84341930515217,12.74208364985569,48.846385949121704,1932,NA,932
28_m,Irlbach,2011,28,IRL,IRL-2011,12.73820553974913,48.84333855622659,12.74208364985569,48.846385949121704,1935,NA,923
29_m,Mariaposching,2010,29,MAR,MAR-2010,12.808806779389384,48.82570699806835,12.80880091188479,48.825765489860004,128,16599,264
30_m,Mariaposching,2010,30,MAR,MAR-2010,12.808795044380195,48.82582398165165,12.80880091188479,48.825765489860004,141,16376,277
31_m,Irlbach,2010,31,IRL,IRL-2010,12.756621948860275,48.84855152436712,12.75668339246255,48.8485601131008,579,NA,1082
32_m,Irlbach,2010,32,IRL,IRL-2010,12.756744836064826,48.84856870183449,12.75668339246255,48.8485601131008,570,NA,1072
33_m,Irlbach,2003,33,IRL,IRL-2003,12.757568656881476,48.84898592727082,12.757547541932063,48.84894110438763,514,NA,1003
34_o,Irlbach,2003,34,IRL,IRL-2003,12.757526426982649,48.84889628150444,12.757547541932063,48.84894110438763,517,NA,1008
35_m,Schwarzach-Sulzbach,2016,35,SCH,SCH-2016,12.84179540713443,48.847816730727835,12.84349412615694,48.8457337962031,927,2023,479
36_m,Schwarzach-Sulzbach,2016,36,SCH,SCH-2016,12.841631170903097,48.84777296885285,12.84349412615694,48.8457337962031,931,3122,469
37_m,Schwarzach-Sulzbach,2016,37,SCH,SCH-2016,12.845308262046915,48.84362753637254,12.84349412615694,48.8457337962031,399,NA,926
