id;surveyYear_1;surveyYear_2;surveyYear_3;location;RW;HW;constructionYear;ageCategory;pH;HCl;Corg;organic;nitrogen;cnRatio;C550;CaCO3;sand;silt;clay;phosphorous;phosphorousClass;potassium;potassiumClass;magnesium;magnesiumClass
01_m;2017;2018;2019;Parkstetten-Reibersdorf;4543914;5418661;2008;old;7,38;C4;2,108;3,63;0,235;9;4,3;35,8;38,4;44,2;17,4;4;A;7;B;16;C
02_m;2017;2018;2019;Parkstetten-Reibersdorf;4543912;5418670;2008;old;7,37;C4;1,804;3,1;0,193;9,3;3,287;27,4;48,5;36,5;15;3;A;6;B;14;C
03_m;2017;2018;2019;Parkstetten-Reibersdorf;4544901;5418627;2008;old;7,46;C4;1,474;2,54;0,174;8,5;4,351;36,2;45,5;39,3;15,2;1;A;6;B;15;C
04_m;2017;2018;2019;Parkstetten-Reibersdorf;4544901;5418639;2008;old;7,43;C4;1,48;2,55;0,142;10,4;2,405;20;65,3;24,6;10,1;3;A;6;B;11;C
05_m;2017;2018;2019;Klaeranlage_Straubing;4545832;5418126;2012;old;7,47;C4;2,053;3,53;0,272;7,5;4,968;41,4;25,5;54,8;19,7;5;A;5;B;15;C
06_m;2017;2018;2019;Klaeranlage_Straubing;4545833;5418139;2012;old;7,44;C4;1,579;2,72;0,213;7,4;5,489;45,7;24,4;56,9;18,7;11;C;5;B;14;C
07_m;2017;2018;2019;Klaeranlage_Straubing;4546097;5418383;2012;old;7,45;C4;1,805;3,1;0,242;7,5;5,304;44,2;16,2;62,2;21,6;6;B;6;B;16;C
08_m;2017;2018;2019;Klaeranlage_Straubing;4546085;5418387;2012;old;7,42;C4;1,75;3,01;0,225;7,8;4,837;40,3;30,1;50,8;19,1;10;C;6;B;14;C
09_m;2017;2018;2019;Oebling;4546913;5417317;2010;old;7,28;C3;2,599;4,47;0,285;9,1;0,934;7,8;24,8;41,2;34;10;C;7;B;21;D
10_m;2017;2018;2019;Oebling;4546909;5417329;2010;old;7,33;C3;2,655;4,57;0,293;9,1;1,28;10,7;25,3;41,6;33,1;13;C;11;C;23;D
11_m;2017;2018;2019;Oebling;4546311;5417431;2010;old;7,18;C0;1,887;3,25;0,186;10,1;0,23;1,9;54,3;32,3;13,4;6;B;8;B;14;C
12_m;2017;2018;2019;Oebling;4546311;5417420;2010;old;7,26;C0;2,37;4,08;0,245;9,7;0,255;2,1;47,4;29,9;22,7;20;C;13;C;21;D
13_m;2017;2018;2019;Aiterach;4547375;5418241;2006;old;6,16;C0;1,034;1,78;0,109;9,5;0,028;0,2;42,4;36,4;21,2;23;D;18;C;17;C
14_m;2017;2018;2019;Aiterach;4547375;5418234;2006;old;7,18;C0;1,309;2,25;0,132;9,9;0,118;1;42,3;36,1;21,6;32;E;17;C;18;C
15_m;2017;2018;2019;Aiterach;4547130;5416962;2006;old;7,22;C1/C2;2,356;4,05;0,233;10,1;0,427;3,6;49,4;32;18,6;33;E;35;E;17;C
16_m;2017;2018;2019;Aiterach;4547137;5416962;2006;old;7,32;C3;2,486;4,28;0,258;9,6;1,314;10,9;41,2;35,9;22,9;5;B;12;C;17;C
17_o;2017;2018;2019;Hermannsdorf-Ainbrach;4551938;5417213;2016;new;7,45;C4;1,634;2,81;0,19;8,6;2,748;22,9;31,2;46,8;22;9;B;8;B;15;C
18_m;2017;2018;2019;Hermannsdorf-Ainbrach;4551933;5417206;2016;new;7,41;C4;2,121;3,65;0,234;9,1;2,565;21,4;36,7;43,3;20;2;A;7;B;15;C
19_o;2017;2018;2019;Hermannsdorf-Ainbrach;4552292;5416931;2016;new;7,41;C3/C4;1,204;2,07;0,134;9;2,013;16,8;31,5;45,8;22,7;19;C;14;C;14;C
