"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1M_RR","1019","2002-01-01","22.3","4","9",
"OBS_DEU_P1M_RR","1019","2002-02-01","66.5","4","9",
"OBS_DEU_P1M_RR","1019","2002-03-01","80.2","4","9",
"OBS_DEU_P1M_RR","1019","2002-04-01","34.2","4","9",
"OBS_DEU_P1M_RR","1019","2002-05-01","55.7","4","9",
"OBS_DEU_P1M_RR","1019","2002-06-01","85.5","4","9",
"OBS_DEU_P1M_RR","1019","2002-07-01","90.9","4","9",
"OBS_DEU_P1M_RR","1019","2002-08-01","114.4","4","9",
"OBS_DEU_P1M_RR","1019","2002-09-01","71.7","4","9",
"OBS_DEU_P1M_RR","1019","2002-10-01","105.9","4","9",
"OBS_DEU_P1M_RR","1019","2002-11-01","119.4","4","9",
"OBS_DEU_P1M_RR","1019","2002-12-01","66.8","4","9",
"OBS_DEU_P1M_RR","3271","2002-01-01","45.9","4","9",
"OBS_DEU_P1M_RR","3271","2002-02-01","108.2","4","9",
"OBS_DEU_P1M_RR","3271","2002-03-01","105.3","4","9",
"OBS_DEU_P1M_RR","3271","2002-04-01","32.3","4","9",
"OBS_DEU_P1M_RR","3271","2002-05-01","84.9","4","9",
"OBS_DEU_P1M_RR","3271","2002-06-01","86.8","4","9",
"OBS_DEU_P1M_RR","3271","2002-07-01","184.8","4","9",
"OBS_DEU_P1M_RR","3271","2002-08-01","202","4","9",
"OBS_DEU_P1M_RR","3271","2002-09-01","64.3","4","9",
"OBS_DEU_P1M_RR","3271","2002-10-01","143.7","4","9",
"OBS_DEU_P1M_RR","3271","2002-11-01","139.7","4","9",
"OBS_DEU_P1M_RR","3271","2002-12-01","111.6","4","9",
"OBS_DEU_P1M_RR","3271","2003-01-01","115.3","4","9",
"OBS_DEU_P1M_RR","3271","2003-02-01","31.4","4","9",
"OBS_DEU_P1M_RR","3271","2003-03-01","14.3","4","9",
"OBS_DEU_P1M_RR","3271","2003-04-01","19.8","4","9",
"OBS_DEU_P1M_RR","3271","2003-05-01","101.9","4","9",
"OBS_DEU_P1M_RR","3271","2003-06-01","87.8","4","9",
"OBS_DEU_P1M_RR","3271","2003-07-01","49.6","4","9",
"OBS_DEU_P1M_RR","3271","2003-08-01","32.9","4","9",
"OBS_DEU_P1M_RR","3271","2003-09-01","43.3","4","9",
"OBS_DEU_P1M_RR","3271","2003-10-01","84.2","4","9",
"OBS_DEU_P1M_RR","3271","2003-11-01","26","4","9",
"OBS_DEU_P1M_RR","3271","2003-12-01","59.4","4","9",
"OBS_DEU_P1M_RR","3271","2004-01-01","167.8","4","9",
"OBS_DEU_P1M_RR","3271","2004-02-01","71.5","4","9",
"OBS_DEU_P1M_RR","3271","2004-03-01","24.8","4","9",
"OBS_DEU_P1M_RR","3271","2004-04-01","36","4","9",
"OBS_DEU_P1M_RR","3271","2004-05-01","62.6","4","9",
"OBS_DEU_P1M_RR","3271","2004-06-01","79.2","4","9",
"OBS_DEU_P1M_RR","3271","2004-07-01","76.6","4","9",
"OBS_DEU_P1M_RR","3271","2004-08-01","67.5","4","9",
"OBS_DEU_P1M_RR","3271","2004-09-01","79.8","4","9",
"OBS_DEU_P1M_RR","3271","2004-10-01","50.8","4","9",
"OBS_DEU_P1M_RR","3271","2004-11-01","60.3","4","9",
"OBS_DEU_P1M_RR","3271","2004-12-01","44.2","4","9",
"OBS_DEU_P1M_RR","3271","2005-01-01","91.9","4","9",
"OBS_DEU_P1M_RR","3271","2005-02-01","120.7","4","9",
"OBS_DEU_P1M_RR","3271","2005-03-01","35.2","4","9",
"OBS_DEU_P1M_RR","3271","2005-04-01","93.3","4","9",
"OBS_DEU_P1M_RR","3271","2005-05-01","105.6","4","9",
"OBS_DEU_P1M_RR","3271","2005-06-01","47.5","4","9",
"OBS_DEU_P1M_RR","3271","2005-07-01","137.2","4","9",
"OBS_DEU_P1M_RR","3271","2005-08-01","52","4","9",
"OBS_DEU_P1M_RR","3271","2005-09-01","64.9","4","9",
"OBS_DEU_P1M_RR","3271","2005-10-01","21.4","4","9",
"OBS_DEU_P1M_RR","3271","2005-11-01","36.3","4","9",
"OBS_DEU_P1M_RR","3271","2005-12-01","89.2","4","9",
"OBS_DEU_P1M_RR","3271","2006-01-01","49.2","4","9",
"OBS_DEU_P1M_RR","3271","2006-02-01","104.6","4","9",
"OBS_DEU_P1M_RR","3271","2006-03-01","160.2","4","9",
"OBS_DEU_P1M_RR","3271","2006-04-01","68.7","4","9",
"OBS_DEU_P1M_RR","3271","2006-05-01","126.3","4","9",
"OBS_DEU_P1M_RR","3271","2006-06-01","69","4","9",
"OBS_DEU_P1M_RR","3271","2006-07-01","79","4","9",
"OBS_DEU_P1M_RR","3271","2006-08-01","147","4","9",
"OBS_DEU_P1M_RR","3271","2006-09-01","19.4","4","9",
