name,sum
Achillea_millefolium,170
Acinos_arvensis,2
Aegopodium_podagraria,5
Agrimonia_eupatoria,70
Agrostis_capillaris,24
Agrostis_gigantea,2
Agrostis_stolonifera,15
Ajuga_reptans,24
Allium_oleraceum,1
Allium_sativum,8
Allium_scorodoprasum,6
Allium_vineale,1
Alopecurus_pratensis,10
Angelica_sylvestris,1
Anthericum_ramosum,1
Anthoxanthum_odoratum,59
Anthriscus_sylvestris,1
Anthyllis_vulneraria,48
Arabis_hirsuta,8
Arenaria_serpyllifolia,60
Arrhenatherum_elatius,133
Artemisia_vulgaris,6
Astragalus_glycyphyllos,8
Barbarea_vulgaris,2
Bellis_perennis,5
Brachypodium_pinnatum,31
Brassica_rapa,1
Briza_media,32
Bromus_erectus,83
Bromus_hordeaceus,45
Bromus_inermis,48
Bromus_sterilis,7
Calamagrostis_epigejos,2
Calystegia_sepium,18
Campanula_glomerata,1
Campanula_patula,4
Campanula_rapunculoides,1
Campanula_rotundifolia,5
Campanula_trachelium,3
Capsella_bursa-pastoris,8
Carduus_acanthoides,1
Carex_acutiformis,1
Carex_caryophyllea,9
Carex_digitata,1
Carex_flacca,16
Carex_hirta,43
Carex_montana,1
Carex_muricata,23
Carex_panicea,3
Carex_praecox_ssp_curvata,1
Carex_praecox_ssp_praecox,25
Carex_sylvatica,3
Carum_carvi,1
Centaurea_jacea,55
Centaurea_scabiosa,5
Centaurea_stoebe,1
Centaurium_erythraea,2
Cerastium_arvense,7
Cerastium_fontanum_ssp_vulgare,62
Cerastium_glomeratum,12
Chaerophyllum_bulbosum,2
Chenopodium_album,2
Cichorium_intybus,43
Cirsium_arvense,22
Cirsium_oleraceum,1
Cirsium_vulgare,1
Clinopodium_vulgare,25
Colchicum_autumnale,2
Convolvulus_arvensis,17
Cota_tinctoria,14
Crepis_biennis,24
Crepis_capillaris,12
Cyanus_segetum,2
Cynodon_dactylon,1
Cynosurus_cristatus,31
Dactylis_glomerata,154
Daucus_carota,86
Deschampsia_cespitosa,7
Dianthus_carthusianorum,18
Dianthus_deltoides,1
Dipsacus_fullonum,4
Echium_vulgare,43
Elymus_repens,73
Equisetum_arvense,14
Erigeron_annuus,137
Erophila_verna,2
Euphorbia_cyparissias,15
Euphorbia_esula,21
Euphorbia_verrucosa,5
Falcaria_vulgaris,1
Festuca_arundinacea,6
Festuca_ovina,131
Festuca_pratensis,112
Festuca_rubra,109
Filipendula_ulmaria,2
Filipendula_vulgaris,18
Fragaria_vesca,2
Galium_mollugo,131
Galium_verum,45
Geranium_dissectum,9
Geranium_molle,2
Geranium_pratense,1
Geranium_pusillum,3
Geranium_pyrenaicum,24
Geum_urbanum,2
Glechoma_hederacea,4
Helianthemum_nummularium,5
Helictotrichon_pubescens,4
Heracleum_sphondylium,1
Hippocrepis_comosa,2
Holcus_lanatus,31
Hypericum_perforatum,20
Hypochaeris_radicata,14
Jacobaea_vulgaris,4
Knautia_arvensis,27
Koeleria_pyramidata,2
Lactuca_serriola,2
Lathyrus_pratensis,55
Lathyrus_sylvestris,7
Leontodon_hispidus,10
Lepidium_ruderale,2
Leucanthemum_vulgare,64
Linaria_vulgaris,3
Linum_catharticum,5
Lolium_perenne,39
Lotus_corniculatus,77
Lysimachia_nummularia,20
Lysimachia_vulgaris,2
Malva_moschata,2
Matricaria_chamomilla,1
Medicago_falcata,77
Medicago_lupulina,101
Medicago_minima,2
Medicago_sativa,31
Melilotus_officinalis,1
Mentha_longifolia,2
Myosotis_arvensis,3
Nardus_stricta,6
Oenothera_biennis,1
Onobrychis_viciifolia,4
Ononis_spinosa,3
Ononis_spinosa_ssp_procurrens,4
Origanum_vulgare,23
Orobanche_spec,6
Papaver_rhoeas,11
Parthenocissus_inserta,1
Persicaria_amphibia,3
Peucedanum_officinale,10
Peucedanum_oreoselinum,3
Phalaris_arundinacea,4
Phleum_phleoides,7
Phleum_pratense,16
Phyteuma_spicatum,1
Pilosella_caespitosa,1
Pilosella_officinarum,1
Pilosella_piloselloides,1
Pimpinella_major,1
Pimpinella_saxifraga,15
Plantago_lanceolata,156
Plantago_major_ssp_intermedia,11
Plantago_media,4
Poa_angustifolia,123
Poa_annua,4
Poa_compressa,49
Poa_pratensis,28
Poa_trivialis,34
Polygala_amarella,1
Polygala_vulgaris,4
Polygonatum_multiflorum,1
Polygonum_aviculare,1
Potentilla_anserina,8
Potentilla_argentea,20
Potentilla_grandiflora,3
Potentilla_recta,14
Potentilla_reptans,79
Prunella_vulgaris,32
Ranunculus_acris,22
Ranunculus_bulbosus,22
Ranunculus_repens,17
Ranunculus_serpens_ssp_nemorosus,2
Reseda_lutea,10
Rhinanthus_alectorolophus,1
Rhinanthus_glacialis,6
Rhinanthus_minor,4
Rhinanthus_serotinus,4
Rosa_canina,2
Rubus_caesius,56
Rumex_acetosa,23
Rumex_crispus,7
Rumex_obtusifolius,14
Salvia_nemorosa,6
Salvia_pratensis,55
Sanguisorba_minor,86
Sanguisorba_officinalis,22
Saponaria_officinalis,3
Scabiosa_columbaria,3
Scrophularia_umbrosa,1
Securigera_varia,47
Sedum_acre,1
Sedum_sexangulare,4
Setaria_viridis,1
Silaum_silaus,1
Silene_dioica,1
Silene_flos-cuculi,3
Silene_gallica,1
Silene_latifolia_ssp_alba,16
Silene_vulgaris,121
Sisymbrium_officinale,2
Solidago_canadensis,2
Solidago_gigantea,7
Sonchus_arvensis,1
Sonchus_asper,5
Stachys_officinalis,3
Stachys_palustris,1
Stellaria_graminea,3
Symphytum_officinale,13
Tanacetum_vulgare,21
Taraxacum_campylodes,48
Thalictrum_minus,2
Thymus_pulegioides,19
Tragopogon_pratensis,8
Trifolium_campestre,74
Trifolium_dubium,6
Trifolium_hybridum,2
Trifolium_medium,8
Trifolium_montanum,1
Trifolium_pratense,84
Trifolium_repens,26
Tripleurospermum_maritimum,10
Trisetum_flavescens,100
Tussilago_farfara,3
Urtica_dioica,4
Valeriana_officinalis,1
Verbascum_blattaria,7
Verbascum_lychnitis,39
Verbascum_nigrum,8
Verbascum_thapsus,1
Verbena_officinalis,9
Veronica_arvensis,21
Veronica_chamaedrys,24
Veronica_persica,9
Vicia_cracca,60
Vicia_dasycarpa,4
Vicia_hirsuta,15
Vicia_sativa_ssp_nigra,59
Vicia_sepium,3
Vicia_tetrasperma,8
