name,sum
Acer_platanoides,1
Achillea_millefolium,206
Acinos_arvensis,2
Aegopodium_podagraria,10
Agrimonia_eupatoria,89
Agrostis_capillaris,39
Agrostis_gigantea,2
Agrostis_stolonifera,17
Ajuga_reptans,30
Allium_oleraceum,2
Allium_sativum,7
Allium_scorodoprasum,11
Allium_vineale,1
Alopecurus_pratensis,10
Angelica_sylvestris,1
Anthericum_ramosum,1
Anthoxanthum_odoratum,69
Anthriscus_sylvestris,1
Anthyllis_vulneraria,65
Arabis_hirsuta,8
Arenaria_serpyllifolia,74
Arrhenatherum_elatius,159
Artemisia_vulgaris,6
Astragalus_glycyphyllos,10
Avena_fatua,1
Barbarea_vulgaris,2
Bellis_perennis,6
Betula_pendula,1
BRA,1
Brachypodium_pinnatum,42
Brachypodium_sylvaticum,2
Brassica_rapa,1
Briza_media,39
Bromus_erectus,108
Bromus_hordeaceus,46
Bromus_inermis,54
Bromus_sterilis,8
Calamagrostis_epigejos,5
Calystegia_sepium,20
Campanula_glomerata,1
Campanula_patula,7
Campanula_rapunculoides,1
Campanula_rotundifolia,8
Campanula_trachelium,4
Capsella_bursa-pastoris,8
Carduus_acanthoides,1
Carex_acutiformis,1
Carex_caryophyllea,10
Carex_digitata,2
Carex_flacca,19
Carex_hirta,50
Carex_muricata,24
Carex_panicea,3
Carex_praecox_ssp_curvata,1
Carex_praecox_ssp_praecox,28
Carex_sylvatica,3
Carum_carvi,1
Centaurea_jacea,73
Centaurea_scabiosa,6
Centaurea_stoebe,1
Centaurium_erythraea,3
Cerastium_arvense,9
Cerastium_fontanum_ssp_vulgare,75
Cerastium_glomeratum,12
Chaerophyllum_bulbosum,2
Chenopodium_album,2
Cichorium_intybus,47
Cirsium_arvense,27
Cirsium_oleraceum,1
Cirsium_vulgare,1
Clinopodium_vulgare,26
Colchicum_autumnale,2
Convolvulus_arvensis,21
Cornus_sanguinea,5
Coryllus_avellana,1
Cota_tinctoria,17
Crataegus_monogyna,4
Crepis_biennis,27
Crepis_capillaris,14
Cyanus_segetum,2
Cynodon_dactylon,1
Cynosurus_cristatus,35
Dactylis_glomerata,183
Daucus_carota,104
Deschampsia_cespitosa,8
Dianthus_carthusianorum,24
Dianthus_deltoides,1
Dipsacus_fullonum,5
Echium_vulgare,50
Elymus_repens,92
Equisetum_arvense,16
Erigeron_annuus,171
Erophila_verna,2
Euonymus_europaeus,1
Euphorbia_cyparissias,17
Euphorbia_esula,25
Euphorbia_verrucosa,6
Falcaria_vulgaris,1
Festuca_arundinacea,7
Festuca_ovina,151
Festuca_pratensis,130
Festuca_rubra,125
Filipendula_ulmaria,3
Filipendula_vulgaris,23
Foeniculum_vulgare,1
Fragaria_vesca,2
Fragaria_viridis,1
Galium_mollugo,160
Galium_verum,57
Geranium_dissectum,10
Geranium_molle,2
Geranium_pratense,2
Geranium_pusillum,3
Geranium_pyrenaicum,26
Geum_urbanum,2
Glechoma_hederacea,5
Helianthemum_nummularium,5
Helictotrichon_pubescens,4
Heracleum_sphondylium,1
Hippocrepis_comosa,3
Holcus_lanatus,38
Hypericum_perforatum,31
Hypochaeris_radicata,14
Jacobaea_vulgaris,4
Juglans_regia,1
Knautia_arvensis,38
Koeleria_pyramidata,2
Lactuca_serriola,2
Lathyrus_pratensis,67
Lathyrus_sylvestris,9
Leontodon_hispidus,13
Lepidium_ruderale,2
Leucanthemum_vulgare,75
Linaria_vulgaris,3
Linum_catharticum,7
Lolium_perenne,42
Lotus_corniculatus,89
Lysimachia_nummularia,25
Lysimachia_vulgaris,2
Malva_moschata,2
Matricaria_chamomilla,1
Medicago_falcata,98
Medicago_lupulina,117
Medicago_minima,4
Medicago_sativa,35
Melilotus_officinalis,1
Mentha_longifolia,2
Mentha_spicata,1
Myosotis_arvensis,4
Nardus_stricta,6
Oenothera_biennis,1
Onobrychis_viciifolia,5
Ononis_spinosa,8
Ononis_spinosa_ssp_procurrens,4
Origanum_vulgare,33
Orobanche_spec,6
Papaver_rhoeas,13
Parthenocissus_inserta,1
Persicaria_amphibia,3
Peucedanum_officinale,10
Peucedanum_oreoselinum,3
Phalaris_arundinacea,4
Phleum_phleoides,9
Phleum_pratense,19
Phyteuma_spicatum,1
Pilosella_caespitosa,1
Pilosella_officinarum,1
