"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1M_T2M","3271","1906-01-01","-0.6","","5",
"OBS_DEU_P1M_T2M","3271","1906-02-01","-1.5","","5",
"OBS_DEU_P1M_T2M","3271","1906-03-01","2.1","","5",
"OBS_DEU_P1M_T2M","3271","1906-04-01","9.2","","5",
"OBS_DEU_P1M_T2M","3271","1906-05-01","13.1","","5",
"OBS_DEU_P1M_T2M","3271","1906-06-01","15.2","","5",
"OBS_DEU_P1M_T2M","3271","1906-07-01","18.1","","5",
"OBS_DEU_P1M_T2M","3271","1906-08-01","16.7","","5",
"OBS_DEU_P1M_T2M","3271","1906-09-01","11.9","","5",
"OBS_DEU_P1M_T2M","3271","1906-10-01","8.6","","5",
"OBS_DEU_P1M_T2M","3271","1906-11-01","5","","5",
"OBS_DEU_P1M_T2M","3271","1906-12-01","-3.3","","5",
"OBS_DEU_P1M_T2M","3271","1907-01-01","-1.6","","5",
"OBS_DEU_P1M_T2M","3271","1907-02-01","-2.6","","5",
"OBS_DEU_P1M_T2M","3271","1907-03-01","1.8","","5",
"OBS_DEU_P1M_T2M","3271","1907-04-01","6.4","","5",
"OBS_DEU_P1M_T2M","3271","1907-05-01","14.2","","5",
"OBS_DEU_P1M_T2M","3271","1907-06-01","15.7","","5",
"OBS_DEU_P1M_T2M","3271","1907-07-01","15.5","","5",
"OBS_DEU_P1M_T2M","3271","1907-08-01","16.7","","5",
"OBS_DEU_P1M_T2M","3271","1907-09-01","13.5","","5",
"OBS_DEU_P1M_T2M","3271","1907-10-01","11.1","","5",
"OBS_DEU_P1M_T2M","3271","1907-11-01","1.7","","5",
"OBS_DEU_P1M_T2M","3271","1907-12-01","0.5","","5",
"OBS_DEU_P1M_T2M","3271","1908-01-01","-5.3","","5",
"OBS_DEU_P1M_T2M","3271","1908-02-01","0.2","","5",
"OBS_DEU_P1M_T2M","3271","1908-03-01","2.7","","5",
"OBS_DEU_P1M_T2M","3271","1908-04-01","6.6","","5",
"OBS_DEU_P1M_T2M","3271","1908-05-01","15","","5",
"OBS_DEU_P1M_T2M","3271","1908-06-01","18.3","","5",
"OBS_DEU_P1M_T2M","3271","1908-07-01","17.6","","5",
"OBS_DEU_P1M_T2M","3271","1908-08-01","15","","5",
"OBS_DEU_P1M_T2M","3271","1908-09-01","11.3","","5",
"OBS_DEU_P1M_T2M","3271","1908-10-01","7.2","","5",
"OBS_DEU_P1M_T2M","3271","1908-11-01","0.7","","5",
"OBS_DEU_P1M_T2M","3271","1908-12-01","-2.2","","5",
"OBS_DEU_P1M_T2M","3271","1909-01-01","-2.9","","5",
"OBS_DEU_P1M_T2M","3271","1909-02-01","-3","","5",
"OBS_DEU_P1M_T2M","3271","1909-03-01","2","","5",
"OBS_DEU_P1M_T2M","3271","1909-04-01","9.2","","5",
"OBS_DEU_P1M_T2M","3271","1909-05-01","11.6","","5",
"OBS_DEU_P1M_T2M","3271","1909-06-01","15.1","","5",
"OBS_DEU_P1M_T2M","3271","1909-07-01","15.3","","5",
"OBS_DEU_P1M_T2M","3271","1909-08-01","17.2","","5",
