"","term","statistic","df","p.value"
"1","(Intercept)",109.575955808333,1,1.21363792502656e-25
"2","comparison",9.34462938764375,2,0.00935060068068211
"3","exposition",2.49252958597637,1,0.114387741296353
"4","PC2soil",2.59469438962983,1,0.107222119878594
"5","PC1soil",2.15737528219603,1,0.141886873931163
"6","PC3soil",2.73036405175141,1,0.0984568395637626
"7","side",17.3574253565358,1,3.09685940946528e-05
"8","distanceRiver",0.00713783920779981,1,0.932670245102012
"9","locationYear",19.0897333168008,11,0.059501664357227
"10","exposition:PC2soil",4.2819853116751,1,0.0385183329186169
