PC1,PC2,PC3,PC4,variables
-0.219,0.892,0.405,-0.133,ph
-0.529,0.927,-0.497,0.403,calciumcarbonat
-1.073,-0.131,0.509,-0.134,humus
-1.192,0.051,0.28,-0.069,n_total_ratio
-1.149,-0.144,-0.326,-0.434,n_total_concentration
0.747,-0.575,0.66,-0.31,cn_ratio
1.227,0.096,-0.096,-0.329,sand
-1.109,0.177,0.017,0.507,silt
-1.103,-0.507,0.198,-0.039,clay
0.047,-1.026,-0.181,0.415,phosphorus
0.24,-0.989,-0.368,0.39,potassium
-0.899,-0.62,0.241,-0.129,magnesium
-0.56,-0.21,-0.906,-0.686,topsoil_depth
5.649,2.726,1.361,0.95,Eigenvalue
0.435,0.21,0.105,0.073,Proportion Explained
0.435,0.644,0.749,0.822,Cumulative Proportion
