"","term","statistic","df","p.value"
"1","(Intercept)",16.7151471116466,1,4.34328368736015e-05
"2","index",63.1816668340076,2,1.90666927534923e-14
"3","comparison",12.2557008021819,2,0.00218126476912489
"4","exposition",0.987369657055295,1,0.320386104144321
"5","PC2soil",0.380112097468845,1,0.537543249793118
"6","PC1soil",0.511064120272914,1,0.474678569062288
"7","side",0.798093447958379,2,0.670959350730298
"8","PC3soil",0.00938586900836037,1,0.922821140065515
"9","locationYear",14.874586248578,11,0.18831073504814
"10","index:comparison",18.4096766793214,4,0.00102611404359235
"11","index:exposition",1.80661426109692,2,0.405227301698897
"12","comparison:exposition",1.16811093326168,2,0.557632315476197
"13","index:comparison:exposition",0.840621278599118,4,0.932920741838894
