"","term","statistic","df","p.value"
"1","(Intercept)",92.7150457512504,1,6.03926999082133e-22
"2","index",44.8295029895264,2,1.84245594652834e-10
"3","comparison",26.2108162961708,2,2.0341995701116e-06
"4","exposition",1.76364309963439,1,0.18417075620407
"5","PC1soil",1.58183595258891,1,0.208496437447697
"6","PC2soil",0.525287584026747,1,0.468594823133316
"7","side",3.47189747871278,2,0.176232921838225
"8","PC3soil",0.643191545193841,1,0.422557449898608
"9","locationYear",17.4732074496929,11,0.0946367015548713
"10","index:comparison",44.786632430668,4,4.40350128621327e-09
"11","index:exposition",2.00273024923928,2,0.36737758251698
"12","comparison:exposition",2.79590903101094,2,0.247101890441359
"13","index:comparison:exposition",2.73278807677773,4,0.603489435072067
