"","term","statistic","df","p.value"
"1","(Intercept)",1.12814168719168,1,0.288172067706475
"2","comparison",50.6387138428627,2,1.0091204415607e-11
"3","exposition",1.19495216461611,1,0.274332917144622
"4","PC1soil",0.125930883594807,1,0.722688919392073
"5","PC2soil",0.0685017612224963,1,0.793530834885322
"6","PC3soil",1.57545647045484,1,0.209416368026548
"7","side",0.186493555379262,1,0.665851166490263
"8","locationYear",4.01544149637694,11,0.969463143779296
"9","log(distanceRiver)",0.528791715311726,1,0.467115290832957
"10","comparison:exposition",7.09358575048262,2,0.0288169110410944
