"","term","statistic","df","p.value"
"1","(Intercept)",8.23575061391375,1,0.00410731823294794
"2","comparison",8.4676729456151,2,0.0144966676558199
"3","exposition",2.41325142678243,1,0.120312244400052
"4","PC2soil",1.93561364887361,1,0.164145589771442
"5","PC1soil",1.59891635639294,1,0.206056846445822
"6","PC3soil",0.946431651895409,1,0.330629255845125
"7","side",16.1371049442768,1,5.89183363770227e-05
"8","log(distanceRiver)",0.480349958431728,1,0.488263842592476
"9","locationYear",13.3565800443436,11,0.27065966766319
"10","exposition:PC2soil",2.98172128930466,1,0.0842096725163044
