"","term","statistic","df","p.value"
"1","(Intercept)",317.756491726352,1,4.46263338456666e-71
"2","index",93.9620141616505,2,3.94827933277031e-21
"3","comparison",66.4418469478021,2,3.73539257818697e-15
"4","exposition",0.351646252807471,1,0.55318270244912
"5","PC1soil",3.935940035972,1,0.0472647176615661
"6","PC2soil",4.01082319202127,1,0.0452090724116895
"7","side",15.5664570176447,2,0.000416664794801571
"8","PC3soil",0.575156571045682,1,0.448217077447095
"9","locationYear",20.9742415250556,11,0.0336389044531613
"10","index:comparison",91.3500880803958,4,6.80244672296806e-19
"11","index:exposition",0.992966070679881,2,0.608667562110574
"12","comparison:exposition",6.85330543484729,2,0.0324955306545777
"13","index:comparison:exposition",12.043124862483,4,0.0170334423644753
