"","term","statistic","df","p.value"
"1","(Intercept)",183.546862091654,1,8.14773999058102e-42
"2","index",93.9681974426842,2,3.93609152228543e-21
"3","comparison",21.0632567227436,2,2.66791456012228e-05
"4","exposition",0.395573648285278,1,0.529384108917129
"5","PC1soil",0.400095916200903,1,0.527039725911164
"6","PC2soil",0.194675079632195,1,0.65905374273784
"7","side",3.96157773406078,2,0.137960361991388
"8","PC3soil",0.331110433884561,1,0.565005954810216
"9","locationYear",14.9550071013306,11,0.184566007415514
"10","index:comparison",25.1540429559161,4,4.68461040164752e-05
"11","index:exposition",0.993031413982232,2,0.608647676261157
"12","comparison:exposition",4.33517268952503,2,0.114453535165715
"13","index:comparison:exposition",5.15696171901653,4,0.271568059877965
